!|.--> 35
#|#--> 62
$|$--> 3842
1.43|CD--> 3
1.439|CD--> 1
1.44|CD--> 3
1.45|CD--> 3
1.46|CD--> 3
1.47|CD--> 1
1.48|CD--> 5
1.49|CD--> 4
1.5|CD--> 39
1.50|CD--> 8
1.52|CD--> 2
1.53|CD--> 1
1.54|CD--> 4
1.55|CD--> 1
1.5500|CD--> 1
1.56|CD--> 1
1.5765|CD--> 6
1.5775|CD--> 1
1.5795|CD--> 3
1.58|CD--> 2
1.5805|CD--> 1
1.5820|CD--> 3
1.5825|CD--> 2
1.59|CD--> 1
1.5930|CD--> 1
1.6|CD--> 31
1.6-liter|JJ--> 1
1.60|CD--> 2
1.6030|CD--> 1
1.6055|CD--> 2
1.6143|CD--> 1
1.6145|CD--> 5
1.625|CD--> 1
1.63|CD--> 2
1.64|CD--> 1
1.65|CD--> 4
1.66|CD--> 1
1.69|CD--> 1
1.7|CD--> 26
1.71|CD--> 2
1.72|CD--> 1
1.73|CD--> 1
1.74|CD--> 2
1.75|CD--> 7
1.76|CD--> 1
1.7600|CD--> 1
1.77|CD--> 4
1.78|CD--> 4
1.79|CD--> 1
1.8|CD--> 26
1.80|CD--> 6
1.82|CD--> 2
1.8200|CD--> 2
1.83|CD--> 1
1.8300|CD--> 4
1.8340|CD--> 5
1.8353|CD--> 5
1.8355|CD--> 5
1.84|CD--> 1
1.8400|CD--> 4
1.8410|CD--> 1
1.8415|CD--> 3
1.8470|CD--> 3
1.85|CD--> 3
1.8578|CD--> 1
1.86|CD--> 3
1.8690|CD--> 1
1.87|CD--> 1
1.875|CD--> 5
1.88|CD--> 3
1.89|CD--> 1
1.9|CD--> 18
1.9000|CD--> 1
1.91|CD--> 1
1.92|CD--> 1
1.93|CD--> 2
1.9375|CD--> 1
1.95|CD--> 1
1.98|CD--> 1
1.99|CD--> 1
10|CD--> 309
10%-owned|JJ--> 1
10,000|CD--> 45
10,000-circulation|JJ--> 1
10,100,000|CD--> 1
10,674,500|CD--> 1
10,873|CD--> 1
10-11|CD--> 3
10-2|CD--> 1
10-a-share|JJ--> 3
10-cent-a-share|JJ--> 1
10-day|JJ--> 1
10-gallon|JJ--> 1
10-member|JJ--> 1
10-month|JJ--> 2
10-month-long|JJ--> 1
10-point|JJ--> 1
10-step|JJ--> 1
10-year|JJ--> 25
10-year-old|JJ--> 2
10.05|CD--> 2
10.1|CD--> 2
10.125|CD--> 1
10.14|CD--> 2
10.17|CD--> 1
10.2|CD--> 5
10.3|CD--> 3
10.30|CD--> 1
10.35|CD--> 1
10.37|CD--> 1
10.375|CD--> 1
10.38|CD--> 1
10.4|CD--> 3
10.48|CD--> 2
10.485|CD--> 1
10.5|CD--> 7
10.59|CD--> 1
10.6|CD--> 6
10.625|CD--> 1
10.66|CD--> 1
10.7|CD--> 1
10.77|CD--> 1
10.8|CD--> 2
10.83|CD--> 1
10.86|CD--> 2
10.875|CD--> 1
10.9|CD--> 2
10.93|CD--> 1
10.97|CD--> 1
100|CD--> 158
100,000|CD--> 26
100,000-guest|JJ--> 1
100-Share|NNP--> 1
100-acre|JJ--> 1
100-member|JJ--> 1
100-mile|JJ--> 1
100-share|JJ--> 11
100.05|CD--> 1
100.8|CD--> 1
1000|CD--> 1
100th|JJ--> 1
101|CD--> 16
101,250|CD--> 1
101.225|CD--> 1
101.4|CD--> 1
101.45|CD--> 1
101.7|CD--> 1
101.95|CD--> 1
102|CD--> 17
102.01|CD--> 1
103|CD--> 7
103,000|CD--> 1
103.05|CD--> 1
103.1|CD--> 1
103.98|CD--> 1
104|CD--> 4
104.79|CD--> 1
105|CD--> 3
105.39|CD--> 1
105.4|CD--> 1
106|CD--> 9
106,100|CD--> 1
107|CD--> 8
107.87|CD--> 1
108|CD--> 3
108.2|CD--> 1
108.28|CD--> 1
108.3|CD--> 2
108.4|CD--> 1
108.625|CD--> 1
108.8|CD--> 1
109|CD--> 5
109.25|CD--> 1
109.4|CD--> 1
109.66|CD--> 1
109.85|CD--> 2
1099|CD--> 1
10:08|CD--> 1
10:30|CD--> 3
10:33|CD--> 1
10:40|CD--> 2
10\/32|CD--> 2
10th|JJ--> 2
10th-biggest|JJ--> 1
11|CD--> 144
11|NNP--> 1
11,000|CD--> 2
11,450|CD--> 1
11,580|CD--> 1
11,586|CD--> 1
11,742,368|CD--> 1
11,795|CD--> 1
11,820,000|CD--> 1
11-class|JJ--> 1
11-member|JJ--> 1
11-week|JJ--> 1
11-year|JJ--> 2
11.04|CD--> 1
11.08|CD--> 1
11.1|CD--> 1
11.11|CD--> 1
11.13|CD--> 1
11.2|CD--> 1
11.25|CD--> 4
11.3|CD--> 2
11.38|CD--> 2
11.4|CD--> 2
11.44|CD--> 1
11.5|CD--> 7
11.53|CD--> 2
11.56|CD--> 1
11.57|CD--> 1
11.6|CD--> 1
11.60|CD--> 1
11.625|CD--> 2
11.66|CD--> 1
11.7|CD--> 4
11.71|CD--> 1
11.75-a-share|JJ--> 1
11.8|CD--> 3
11.80|CD--> 1
11.9|CD--> 2
11.90|CD--> 1
11.95|CD--> 2
110|CD--> 20
110,000|CD--> 2
110-story|JJ--> 1
110.1|CD--> 1
110.4|CD--> 1
110.6|CD--> 3
110.9|CD--> 2
111|CD--> 8
112|CD--> 9
112,383|CD--> 1
112.5|CD--> 1
112.625|CD--> 1
113|CD--> 2
114|CD--> 2
114.3|CD--> 2
114.6|CD--> 1
114.63|CD--> 1
115|CD--> 7
116|CD--> 1
116,000|CD--> 1
116,385,000|CD--> 1
116.9|CD--> 1
116.91|CD--> 1
116th|NNP--> 1
117|CD--> 2
117-acre|JJ--> 1
117.2|CD--> 1
117.3|CD--> 1
117.375|CD--> 1
117.9|CD--> 1
117.94|CD--> 1
118|CD--> 1
119|CD--> 6
119.2|CD--> 1
119.88|CD--> 1
1190.43|CD--> 1
1191.86|CD--> 1
1199.32|CD--> 1
11:30|CD--> 1
11\/16|CD--> 25
11\/32|CD--> 5
11th|JJ--> 1
11th-biggest|JJ--> 2
11th-grade|JJ--> 1
12|CD--> 136
12,000|CD--> 3
12,190,000|CD--> 1
12,275|CD--> 1
12,281|CD--> 1
12,345|CD--> 1
12,500|CD--> 1
12,573,758|CD--> 1
12,915,000|CD--> 1
12-2|RB--> 1
12-bed|JJ--> 1
12-count|JJ--> 1
12-day|JJ--> 1
12-inches|NNS--> 1
12-member|JJ--> 1
12-minute|JJ--> 1
12-month|JJ--> 5
12-pack|NN--> 1
12-point|JJ--> 1
12-story-high|JJ--> 1
12-year|JJ--> 4
12-year-old|JJ--> 2
12.05|CD--> 1
12.09|CD--> 1
12.10|CD--> 1
12.12|CD--> 1
12.125|CD--> 1
12.2|CD--> 2
12.3|CD--> 3
12.39|CD--> 1
12.4|CD--> 5
12.43|CD--> 1
12.44|CD--> 1
12.45|CD--> 3
12.49|CD--> 1
12.5|CD--> 26
12.57|CD--> 1
12.6|CD--> 4
12.66|CD--> 1
12.7|CD--> 2
12.75|CD--> 2
12.78|CD--> 1
12.8|CD--> 2
12.8-pound|JJ--> 1
12.875|CD--> 1
12.9|CD--> 2
12.9375|CD--> 1
12.95|CD--> 2
12.97|CD--> 1
120|CD--> 30
120,000|CD--> 2
120-day|JJ--> 3
120-megabyte|JJ--> 1
120.7|CD--> 2
1200|CD--> 1
1205.01|CD--> 1
1205.19|CD--> 1
121|CD--> 1
121.2|CD--> 1
1210.70|CD--> 1
122|CD--> 4
122.36|CD--> 1
122.7|CD--> 1
123,000|CD--> 1
123.1|CD--> 1
123.5|CD--> 2
124|CD--> 1
124,000|CD--> 1
124,875|CD--> 3
124-year-old|JJ--> 1
125|CD--> 16
125,000|CD--> 2
125,849|CD--> 1
125.1|CD--> 2
126|CD--> 1
126,630,000|CD--> 2
126.1|CD--> 1
126.6|CD--> 1
126.68|CD--> 1
127|CD--> 1
127,446|CD--> 1
127.5|CD--> 1
128.19|CD--> 1
128.6|CD--> 1
128.7|CD--> 1
128.9|CD--> 1
129.22|CD--> 1
129.24|CD--> 1
129.38|CD--> 1
129.48|CD--> 1
129.49|CD--> 1
129.63|CD--> 1
129.84|CD--> 1
12:01|CD--> 2
12\/32|CD--> 2
12th|JJ--> 1
13|CD--> 133
13,000|CD--> 1
13,249|CD--> 1
13-7|CD--> 1
13-hour|JJ--> 1
13-week|JJ--> 4
13.02|CD--> 1
13.05|CD--> 2
13.1|CD--> 3
13.15|CD--> 1
13.18|CD--> 1
13.2|CD--> 5
13.25|CD--> 1
13.3|CD--> 1
13.4|CD--> 4
13.44|CD--> 1
13.5|CD--> 5
13.50|CD--> 6
13.57|CD--> 1
13.6|CD--> 2
13.625|CD--> 2
13.63|CD--> 1
13.67|CD--> 1
13.7|CD--> 3
13.71|CD--> 1
13.75|CD--> 1
13.78|CD--> 1
13.8|CD--> 8
13.81|CD--> 2
13.851|CD--> 1
13.94|CD--> 2
130|CD--> 10
130-lawyer|JJ--> 1
130.09|CD--> 1
130.2|CD--> 1
130.25|CD--> 1
130.73|CD--> 1
130.76|CD--> 1
130.80|CD--> 1
131|CD--> 1
131.04|CD--> 1
132|CD--> 2
132,000|CD--> 1
132-acre|JJ--> 1
132.00|CD--> 1
132.1|CD--> 1
132.8|CD--> 2
133|CD--> 2
133.1|CD--> 1
134,550|CD--> 1
134-lawyer|JJ--> 1
134.8|CD--> 2
134.9|CD--> 1
135|CD--> 9
135,000|CD--> 1
135.2|CD--> 1
135.6|CD--> 1
135.9|CD--> 2
136|CD--> 3
136,000|CD--> 1
136,800|CD--> 1
136-page|JJ--> 1
136-year-old|JJ--> 1
136.4|CD--> 1
137|CD--> 1
137.8|CD--> 1
138|CD--> 1
138.4|CD--> 1
138.625|CD--> 1
139|CD--> 1
139.75|CD--> 1
13\/16|CD--> 7
13\/32|CD--> 1
13th|JJ--> 6
14|CD--> 76
14,000|CD--> 1
14,099|CD--> 1
14,505|CD--> 1
14,560,000|CD--> 1
14-Sept.|NNP--> 1
14-judge|JJ--> 1
14-pound|JJ--> 1
14-ship|JJ--> 1
14-year|JJ--> 1
14-year-old|JJ--> 2
14.1|CD--> 2
14.2|CD--> 3
14.25|CD--> 1
14.3|CD--> 2
14.375|CD--> 1
14.43|CD--> 1
14.44|CD--> 1
14.5|CD--> 2
14.50|CD--> 2
14.6|CD--> 4
14.66|CD--> 1
14.7|CD--> 3
14.70|CD--> 1
14.76|CD--> 1
14.8|CD--> 3
14.9|CD--> 1
14.933|CD--> 1
14.95|CD--> 1
14.97|CD--> 1
140|CD--> 14
140,000|CD--> 1
140-point|JJ--> 1
140.106|CD--> 1
140.74|CD--> 1
140.91|CD--> 1
141|CD--> 1
141.1|CD--> 1
141.33|CD--> 1
141.45|CD--> 5
141.52|CD--> 5
141.55|CD--> 1
141.57|CD--> 1
141.60|CD--> 1
141.65|CD--> 4
141.70|CD--> 1
141.90|CD--> 9
142|CD--> 2
142.02|CD--> 1
142.10|CD--> 5
142.15|CD--> 1
142.17|CD--> 1
142.2|CD--> 1
142.32|CD--> 1
142.4|CD--> 1
142.43|CD--> 1
142.70|CD--> 2
142.75|CD--> 1
142.80|CD--> 1
142.85|CD--> 3
142.95|CD--> 1
143|CD--> 1
143,000|CD--> 1
143,534|CD--> 1
143,800|CD--> 1
143.6|CD--> 1
143.88|CD--> 1
144|CD--> 3
144,610|CD--> 1
144.5|CD--> 1
145|CD--> 9
145-150|CD--> 1
145.2|CD--> 1
145.45|CD--> 1
145.7|CD--> 1
146|CD--> 1
1462.93|CD--> 1
1466.29|CD--> 2
147|CD--> 1
147,121|CD--> 1
147.874|CD--> 1
1472.76|CD--> 1
148|CD--> 4
148-a-share|JJ--> 1
148.85|CD--> 1
1482.62|CD--> 1
149|CD--> 7
149.3|CD--> 1
149.69|CD--> 1
14\/32|CD--> 2
15|CD--> 247
15|VBN--> 1
15,000|CD--> 8
15,000-foot|JJ--> 1
15,015,000|CD--> 1
15-a-share|JJ--> 2
15-acre|JJ--> 1
15-day|JJ--> 1
15-fold|JJ--> 1
15-year|JJ--> 1
15.06|CD--> 2
15.125|CD--> 1
15.2|CD--> 1
15.25|CD--> 1
15.27|CD--> 1
15.31|CD--> 1
15.375|CD--> 1
15.43|CD--> 1
15.5|CD--> 4
15.50|CD--> 1
15.6|CD--> 5
15.625|CD--> 1
15.7|CD--> 2
15.72|CD--> 1
15.82|CD--> 2
15.85|CD--> 1
15.87|CD--> 1
15.97|CD--> 1
150|CD--> 68
150,000|CD--> 4
150,000-square-foot|JJ--> 1
150-foot-tall|JJ--> 1
150-megawatt|JJ--> 1
150-member|JJ--> 2
150.2|CD--> 1
150.3|CD--> 1
1500|CD--> 1
1507.37|CD--> 1
151|CD--> 2
151,000|CD--> 3
151.20|CD--> 2
152,000|CD--> 1
152.08|CD--> 1
153|CD--> 2
153,000|CD--> 1
153.3|CD--> 1
153.93|CD--> 1
154|CD--> 2
154.2|CD--> 2
155|CD--> 7
155,000|CD--> 1
155,650,000|CD--> 2
155.039|CD--> 1
155.15|CD--> 1
155.6|CD--> 1
155.7|CD--> 1
155.76|CD--> 1
155mm|CD--> 1
156|CD--> 3
156,000-square-yard|JJ--> 1
156.12|CD--> 1
156.3|CD--> 1
156.6|CD--> 1
156.7|CD--> 3
157|CD--> 5
157.2|CD--> 1
157.4|CD--> 1
157.78|CD--> 1
158|CD--> 3
158,863|CD--> 1
159.7|CD--> 1
159.92|CD--> 1
15\/16|CD--> 1
15\/32|CD--> 3
16|CD--> 88
16,000|CD--> 3
16-bit|JJ--> 3
16-month|JJ--> 1
16-nation|JJ--> 1
16-year-old|JJ--> 1
16-year-olds|NNS--> 1
16.02|CD--> 1
16.03|CD--> 1
16.05|CD--> 1
16.08|CD--> 1
16.1|CD--> 1
16.2|CD--> 4
16.20|CD--> 1
16.25|CD--> 1
16.3|CD--> 3
16.375|CD--> 1
16.38|CD--> 1
16.4|CD--> 1
16.40|CD--> 2
16.436|CD--> 1
16.5|CD--> 2
16.7|CD--> 1
16.75|CD--> 2
16.8|CD--> 1
16.88|CD--> 1
16.95|CD--> 2
16.97|CD--> 1
160|CD--> 5
160,000|CD--> 2
160.4|CD--> 1
161|CD--> 5
161.080|CD--> 1
161.3|CD--> 1
1610|CD--> 1
162|CD--> 2
162,000|CD--> 1
162,767|CD--> 1
162.3|CD--> 1
163|CD--> 2
163,000|CD--> 1
163.2|CD--> 1
163.3|CD--> 1
164|CD--> 1
165|CD--> 3
165,000|CD--> 1
165.1|CD--> 1
166|CD--> 3
166,537|CD--> 1
1678.5|CD--> 1
169|CD--> 2
16\/32|CD--> 2
16th-century|JJ--> 1
17|CD--> 81
17,000|CD--> 4
17,500|CD--> 1
17,699|CD--> 1
17-nation|JJ--> 1
17-store|JJ--> 2
17.01|CD--> 4
17.06|CD--> 1
17.1|CD--> 2
17.12|CD--> 1
17.19|CD--> 1
17.2|CD--> 2
17.25|CD--> 1
17.375|CD--> 1
17.4|CD--> 1
17.5|CD--> 5
17.50|CD--> 6
17.6|CD--> 2
17.64|CD--> 1
17.7|CD--> 1
17.70|CD--> 1
17.8|CD--> 3
17.9|CD--> 3
17.92|CD--> 1
17.95|CD--> 2
17.97|CD--> 1
170|CD--> 14
170,330,000|CD--> 2
170.3|CD--> 1
170.6|CD--> 1
170.75|CD--> 1
1701.7|CD--> 1
171.04|CD--> 1
172.2|CD--> 1
172.5|CD--> 2
1720.5|CD--> 1
1721.4|CD--> 1
173.1|CD--> 2
173.3|CD--> 1
173.5|CD--> 1
1739.3|CD--> 1
174|CD--> 1
175|CD--> 9
175,000|CD--> 1
175,240,000|CD--> 2
175.2|CD--> 1
175.4|CD--> 1
175.5|CD--> 1
1751.9|CD--> 1
176|CD--> 3
176,100,000|CD--> 2
176,470|CD--> 1
176-item|JJ--> 1
176.1|CD--> 2
177|CD--> 4
177.5|CD--> 1
178.375|CD--> 1
178.5|CD--> 3
178.8|CD--> 1
178.9|CD--> 2
179|CD--> 6
179,032|CD--> 1
179.916|CD--> 1
1796|CD--> 1
17\/32|CD--> 2
18|CD--> 92
18,000|CD--> 2
18-a-share|JJ--> 5
18-hole|JJ--> 1
18-month-old|JJ--> 1
18-screen|JJ--> 1
18-to-$19|JJ--> 1
18-year-old|JJ--> 1
18.1|CD--> 2
18.32|CD--> 1
18.35|CD--> 1
18.375|CD--> 2
18.4|CD--> 1
18.443|CD--> 1
18.46|CD--> 1
18.50|CD--> 1
18.68|CD--> 1
18.69|CD--> 1
18.7|CD--> 3
18.75|CD--> 2
18.8|CD--> 2
18.9|CD--> 2
18.95|CD--> 4
180|CD--> 19
180,000|CD--> 1
180-foot-tall|JJ--> 1
1807|CD--> 1
1818|CD--> 1
182|CD--> 2
182-day|JJ--> 2
182.6|CD--> 1
183|CD--> 2
184|CD--> 1
184-day|JJ--> 1
1844|CD--> 1
185|CD--> 5
185-acre|JJ--> 1
185.5|CD--> 1
185.59|CD--> 1
185.7|CD--> 1
1850|CD--> 1
186|CD--> 1
186.4|CD--> 1
1868|CD--> 2
187|CD--> 2
1872|CD--> 1
188|CD--> 2
188,726|CD--> 1
188.1|CD--> 1
188.2|CD--> 1
1881|CD--> 1
1883|CD--> 1
189|CD--> 3
189.52|CD--> 1
189.8|CD--> 1
1890s|CD--> 1
1891|CD--> 1
18\/32|CD--> 5
18th|JJ--> 1
19|CD--> 56
19%-owned|JJ--> 1
19,000|CD--> 1
19-building|JJ--> 1
19-inch|JJ--> 1
19-month|JJ--> 1
19-month-old|JJ--> 2
19-story|JJ--> 1
19-year-olds|NNS--> 1
19.125|CD--> 1
19.2|CD--> 2
19.25|CD--> 2
19.3|CD--> 1
19.38|CD--> 1
19.5|CD--> 2
19.50|CD--> 1
19.51|CD--> 1
19.6|CD--> 3
19.62|CD--> 1
19.65|CD--> 1
19.69|CD--> 1
19.7|CD--> 2
19.72|CD--> 1
19.75|CD--> 1
19.95|CD--> 3
190|CD--> 6
190,000|CD--> 1
190-point|JJ--> 13
190-point|NN--> 1
1900|CD--> 1
1900s|CD--> 1
1900s|NNS--> 1
1901|CD--> 1
1904|CD--> 1
1906|CD--> 1
1908|CD--> 1
1909|CD--> 1
191.3|CD--> 1
1911|CD--> 1
1914|CD--> 1
192|CD--> 1
192.1|CD--> 1
192.5|CD--> 1
192.9|CD--> 1
1920s|CD--> 3
1920s|NN--> 1
1927|CD--> 1
1929|CD--> 1
193|CD--> 2
1930|CD--> 2
1930s|CD--> 3
1930s|NNS--> 1
1933|CD--> 1
1934|CD--> 1
1935|CD--> 2
1937-87|CD--> 1
194|CD--> 1
194.24|CD--> 1
194.50|CD--> 1
194.69|CD--> 1
1940s|CD--> 1
1940s|NNS--> 2
1942|CD--> 1
1943|CD--> 1
1945|CD--> 1
1947|CD--> 1
1948|CD--> 2
1948-89|CD--> 1
1949|CD--> 4
195|CD--> 2
195.19|CD--> 1
1950s|CD--> 5
1950s|NNS--> 3
1951|CD--> 2
1952|CD--> 1
1953|CD--> 1
1954|CD--> 1
1955|CD--> 2
196.2|CD--> 1
196.8|CD--> 1
1960|CD--> 6
1960s|CD--> 4
1960s|NNS--> 6
1961|CD--> 5
1962|CD--> 2
1963|CD--> 5
1965|CD--> 4
1966|CD--> 5
1967|CD--> 5
1967-68|CD--> 1
1968|CD--> 2
1969|CD--> 11
1970|CD--> 7
1970s|CD--> 11
1970s|NNS--> 10
1971|CD--> 7
1972|CD--> 12
1973|CD--> 8
1974|CD--> 23
1974-75|CD--> 1
1975|CD--> 11
1976|CD--> 14
1977|CD--> 6
1978|CD--> 7
1979|CD--> 15
1979-80|CD--> 1
1980|CD--> 29
1980s|CD--> 17
1980s|NNS--> 5
1981|CD--> 23
1982|CD--> 30
1983|CD--> 22
1984|CD--> 37
1984-1989|CD--> 1
1985|CD--> 54
1986|CD--> 93
1987|CD--> 158
1987-88|CD--> 1
1988|CD--> 225
1988-89|CD--> 1
1988-model|JJ--> 1
1988-return|JJ--> 1
1989|CD--> 194
1989-1|NNP--> 1
1989-3|CD--> 1
1989-88|CD--> 1
1989-89|CD--> 1
1989-A|NNP--> 1
1989-model|JJ--> 1
1989A|NNP--> 2
1989B|NNP--> 1
199.6|CD--> 1
199.8|CD--> 1
1990|CD--> 175
1990-1995|CD--> 1
1990-2002|CD--> 2
1990-2004|CD--> 1
1990-2009|CD--> 1
1990-94|CD--> 1
1990-model|JJ--> 3
1990s|CD--> 8
1990s|NNS--> 4
1991|CD--> 61
1991-1999|CD--> 1
1992|CD--> 65
1992-2000|CD--> 1
1993|CD--> 24
1993-2009|CD--> 1
1994|CD--> 43
1995|CD--> 16
1995-1999|CD--> 1
1996|CD--> 10
1996-2000|CD--> 1
1997|CD--> 14
1998|CD--> 9
1998-2011|CD--> 1
1999|CD--> 18
19\/32|CD--> 2
19th|JJ--> 3
19th-century|JJ--> 3
19th-century|NN--> 2
1:30-6|CD--> 1
1\/16|CD--> 1
1\/2|CD--> 178
1\/2-foot-tall|JJ--> 1
1\/2-inch|JJ--> 1
1\/2-year|JJ--> 5
1\/32|CD--> 3
1\/4|CD--> 96
1\/8|CD--> 79
2|,--> 1
2|CD--> 187
2|LS--> 4
2%-3|JJ--> 1
2,000|CD--> 25
2,002|CD--> 1
2,022|CD--> 1
2,046|CD--> 1
2,050|CD--> 1
2,057,750,000|CD--> 1
2,064|CD--> 1
2,100|CD--> 1
2,200|CD--> 1
2,202,000|CD--> 1
2,205,000|CD--> 1
2,230|CD--> 1
2,250,000|CD--> 1
2,290|CD--> 1
2,300|CD--> 1
2,331,100|CD--> 1
2,379|CD--> 1
2,400|CD--> 1
2,412|CD--> 1
2,440|CD--> 1
2,500|CD--> 3
2,500-person|JJ--> 1
2,520|CD--> 1
2,600|CD--> 1
2,633,700|CD--> 1
2,680|CD--> 1
2,700|CD--> 1
2,750|CD--> 1
2,800|CD--> 1
2,800-year-old|JJ--> 1
2,822,000|CD--> 1
2,853,000|CD--> 1
2,888|CD--> 1
2,888,000|CD--> 1
2,936|CD--> 1
2-1|CD--> 1
2-23|CD--> 1
2-3|CD--> 1
2-4|CD--> 1
2-5|CD--> 1
2-for-1|JJ--> 8
2-to-1|JJ--> 1
2.00|CD--> 1
2.007|CD--> 1
2.02|CD--> 1
2.025|CD--> 1
2.03|CD--> 1
2.04|CD--> 1
2.05|CD--> 2
2.06|CD--> 1
